MirnaId
hsa-miR-101
hsa-miR-103
hsa-miR-124
hsa-miR-126
hsa-miR-129-5p
hsa-miR-130a
hsa-miR-140-3p
hsa-miR-142-3p
hsa-miR-142-5p
hsa-miR-143
hsa-miR-146a
hsa-miR-15a*
hsa-miR-16
hsa-miR-17*
hsa-miR-185
hsa-miR-197
hsa-miR-199b-5p
hsa-miR-19a
hsa-miR-200c
hsa-miR-20b
hsa-miR-21*
hsa-miR-22
hsa-miR-222
hsa-miR-25*
hsa-miR-26a
hsa-miR-26b
hsa-miR-27a*
hsa-miR-27b
hsa-miR-28-5p
hsa-miR-29a
hsa-miR-29c
hsa-miR-30b
hsa-miR-30c
hsa-miR-320
hsa-miR-33b
hsa-miR-340
hsa-miR-345
hsa-miR-378
hsa-miR-378*
hsa-miR-421
hsa-miR-425*
hsa-miR-454
hsa-miR-500
hsa-miR-502
hsa-miR-532-3p
hsa-miR-582-3p
hsa-miR-582-5p
hsa-miR-625
hsa-miR-99a
