;;;;hsa04917; ; ;hsa04610; ; ;hsa04145; ; ;hsa04380; ; ;hsa04666; ; ;hsa04340; ; ;hsa03050; ; ;hsa04621; ; ;hsa04152; ; ;hsa04066; ; ;hsa05100; ; ;hsa04650; ; ;hsa04662; ; ;hsa04060; ; ;hsa04120; ; ;hsa04330; ; ;hsa04151; ; ;hsa04520; ; ;hsa04660; ; ;hsa04110; ; ;hsa04068; ; ;hsa04530; ; ;hsa04210; ; ;hsa04640; ; ;hsa04140; ; ;hsa04510; ; ;hsa04150; ; ;hsa04144; ; ;hsa04014; ; ;hsa04350; ; ;hsa04062; ; ;hsa04630; ; ;hsa04620; ; ;hsa04310; ; ;hsa04010; ; ;hsa04810; ; ;hsa04612; ; ;hsa04064; ; ;hsa04722; ; 
mirnaname;type;hostgene;Link to target;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget
"hsa-mir-23b";"intra";"C9orf3";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-23b/";"0";"39";"1";"0";"25";"1";"0";"22";"0";"0";"33";"1";"0";"20";"0";"0";"12";"1";"0";"7";"0";"0";"22";"0";"0";"34";"1";"0";"38";"1";"0";"22";"1";"0";"34";"1";"0";"21";"1";"0";"80";"2";"0";"34";"1";"0";"13";"0";"0";"48";"1";"0";"33";"2";"0";"33";"1";"0";"55";"3";"0";"47";"1";"0";"35";"0";"0";"30";"1";"0";"29";"0";"0";"8";"0";"0";"35";"1";"0";"24";"0";"0";"34";"1";"0";"33";"1";"0";"20";"1";"0";"26";"1";"0";"27";"1";"0";"29";"0";"0";"29";"1";"0";"57";"1";"0";"38";"1";"0";"16";"1";"0";"37";"2";"0";"43";"1"
"hsa-mir-27b";"intra";"C9orf3";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-27b/";"0";"24";"0";"0";"20";"0";"0";"18";"1";"0";"28";"1";"0";"21";"0";"0";"9";"0";"0";"10";"0";"0";"20";"0";"0";"34";"1";"0";"33";"1";"0";"22";"0";"0";"22";"0";"0";"18";"0";"0";"71";"0";"0";"28";"0";"0";"10";"0";"0";"42";"1";"0";"31";"0";"0";"27";"0";"0";"42";"1";"0";"36";"0";"0";"17";"0";"0";"24";"1";"0";"24";"0";"0";"8";"0";"0";"28";"1";"0";"21";"0";"0";"36";"0";"0";"33";"0";"0";"25";"0";"0";"20";"0";"0";"19";"1";"0";"30";"0";"0";"26";"1";"0";"52";"1";"0";"35";"0";"0";"11";"0";"0";"29";"1";"0";"38";"1"
"hsa-mir-30b";"inter";"ZFAT";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-30b/";"0";"37";"0";"0";"30";"0";"0";"31";"0";"0";"42";"0";"0";"30";"0";"0";"16";"0";"0";"13";"0";"0";"22";"0";"0";"40";"0";"0";"50";"0";"0";"31";"0";"0";"39";"0";"0";"32";"0";"0";"119";"0";"0";"58";"0";"0";"16";"0";"0";"64";"0";"0";"37";"0";"0";"37";"0";"0";"65";"0";"0";"55";"0";"0";"32";"0";"0";"43";"0";"0";"41";"0";"0";"14";"0";"0";"44";"0";"0";"26";"0";"0";"60";"0";"0";"41";"0";"0";"26";"0";"0";"30";"0";"0";"34";"0";"0";"31";"0";"0";"39";"0";"0";"71";"0";"0";"47";"0";"0";"18";"0";"0";"46";"0";"0";"48";"0"
"hsa-mir-124-1";"inter";"LINC00599";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-124-1/";"0";"35";"5";"0";"34";"4";"0";"22";"3";"0";"39";"6";"0";"24";"2";"0";"11";"0";"0";"7";"1";"0";"23";"4";"0";"35";"3";"0";"41";"3";"0";"23";"2";"0";"35";"4";"0";"29";"4";"0";"81";"6";"0";"34";"1";"0";"10";"1";"0";"57";"7";"0";"29";"4";"0";"37";"6";"0";"57";"7";"0";"50";"7";"0";"24";"2";"0";"29";"3";"0";"35";"3";"0";"8";"1";"0";"38";"6";"0";"25";"1";"0";"47";"3";"0";"35";"3";"0";"25";"3";"0";"27";"1";"0";"28";"3";"0";"31";"6";"0";"30";"2";"0";"56";"6";"0";"38";"5";"0";"14";"2";"0";"36";"4";"0";"43";"4"
"hsa-mir-124-2";"inter";"LOC100130155";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-124-2/";"0";"35";"5";"0";"34";"4";"0";"22";"3";"0";"39";"6";"0";"24";"2";"0";"11";"0";"0";"7";"1";"0";"23";"4";"0";"35";"3";"0";"41";"3";"0";"23";"2";"0";"35";"4";"0";"29";"4";"0";"81";"6";"0";"34";"1";"0";"10";"1";"0";"57";"7";"0";"29";"4";"0";"37";"6";"0";"57";"7";"0";"50";"7";"0";"24";"2";"0";"29";"3";"0";"35";"3";"0";"8";"1";"0";"38";"6";"0";"25";"1";"0";"47";"3";"0";"35";"3";"0";"25";"3";"0";"27";"1";"0";"28";"3";"0";"31";"6";"0";"30";"2";"0";"56";"6";"0";"38";"5";"0";"14";"2";"0";"36";"4";"0";"43";"4"
"hsa-mir-124-3";"inter";"YTHDF1";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-124-3/";"0";"35";"5";"0";"34";"4";"0";"22";"3";"0";"39";"6";"0";"24";"2";"0";"11";"0";"0";"7";"1";"0";"23";"4";"0";"35";"3";"0";"41";"3";"0";"23";"2";"0";"35";"4";"0";"29";"4";"0";"81";"6";"0";"34";"1";"0";"10";"1";"0";"57";"7";"0";"29";"4";"0";"37";"6";"0";"57";"7";"0";"50";"7";"0";"24";"2";"0";"29";"3";"0";"35";"3";"0";"8";"1";"0";"38";"6";"0";"25";"1";"0";"47";"3";"0";"35";"3";"0";"25";"3";"0";"27";"1";"0";"28";"3";"0";"31";"6";"0";"30";"2";"0";"56";"6";"0";"38";"5";"0";"14";"2";"0";"36";"4";"0";"43";"4"
"hsa-mir-125b-1";"inter";"BLID";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-125b-1/";"0";"24";"3";"0";"18";"0";"0";"17";"0";"0";"25";"0";"0";"19";"1";"0";"10";"2";"0";"14";"0";"0";"19";"1";"0";"24";"2";"0";"37";"6";"0";"17";"1";"0";"27";"1";"0";"17";"2";"0";"63";"5";"0";"31";"2";"0";"14";"0";"0";"35";"7";"0";"25";"2";"0";"32";"4";"0";"35";"5";"0";"31";"4";"0";"22";"2";"0";"27";"2";"0";"22";"0";"0";"9";"1";"0";"28";"4";"0";"21";"3";"0";"30";"1";"0";"25";"2";"0";"20";"2";"0";"20";"2";"0";"22";"2";"0";"23";"1";"0";"27";"3";"0";"44";"6";"0";"22";"2";"0";"17";"0";"0";"31";"2";"0";"37";"4"
"hsa-mir-130a";"inter";"YPEL4";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-130a/";"0";"39";"1";"0";"32";"0";"0";"29";"1";"0";"34";"2";"0";"23";"0";"0";"12";"0";"0";"8";"0";"0";"23";"0";"0";"37";"2";"0";"51";"3";"0";"21";"0";"0";"35";"0";"0";"23";"0";"0";"88";"1";"0";"41";"0";"0";"15";"0";"0";"61";"4";"0";"32";"0";"0";"34";"0";"0";"61";"4";"0";"62";"2";"0";"33";"0";"0";"32";"1";"0";"26";"1";"0";"12";"0";"0";"35";"2";"0";"30";"0";"0";"39";"0";"0";"36";"1";"0";"29";"0";"0";"25";"0";"0";"30";"3";"0";"32";"0";"0";"37";"2";"0";"63";"1";"0";"39";"0";"0";"19";"0";"0";"41";"1";"0";"43";"1"
"hsa-mir-132";"inter";"HIC1";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-132/";"0";"23";"0";"0";"19";"0";"0";"12";"0";"0";"19";"0";"0";"13";"0";"0";"12";"0";"0";"12";"0";"0";"12";"0";"0";"26";"1";"0";"26";"1";"0";"15";"0";"0";"20";"0";"0";"17";"0";"0";"45";"0";"0";"28";"0";"0";"7";"0";"0";"40";"1";"0";"21";"0";"0";"23";"0";"0";"38";"1";"0";"32";"2";"0";"21";"0";"0";"25";"0";"0";"19";"0";"0";"4";"0";"0";"26";"0";"0";"17";"0";"0";"16";"0";"0";"26";"0";"0";"19";"0";"0";"18";"0";"0";"17";"1";"0";"20";"0";"0";"19";"0";"0";"37";"0";"0";"23";"0";"0";"13";"0";"0";"24";"0";"0";"32";"0"
"hsa-mir-133a-1";"intra";"MIB1";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-133a-1/";"0";"8";"0";"0";"10";"0";"0";"9";"0";"0";"15";"0";"0";"11";"0";"0";"4";"0";"0";"4";"0";"0";"13";"0";"0";"13";"0";"0";"14";"0";"0";"14";"0";"0";"13";"0";"0";"8";"0";"0";"30";"0";"0";"11";"0";"0";"7";"0";"0";"18";"1";"0";"17";"0";"0";"13";"0";"0";"18";"0";"0";"17";"0";"0";"13";"0";"0";"17";"1";"0";"11";"0";"0";"4";"0";"0";"12";"0";"0";"12";"0";"0";"20";"0";"0";"12";"0";"0";"13";"0";"0";"11";"0";"0";"8";"0";"0";"16";"0";"0";"10";"0";"0";"25";"0";"0";"15";"0";"0";"8";"0";"0";"17";"0";"0";"17";"0"
"hsa-mir-133a-2";"intra";"C20orf166";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-133a-2/";"0";"8";"0";"0";"10";"0";"0";"9";"0";"0";"15";"0";"0";"11";"0";"0";"4";"0";"0";"4";"0";"0";"13";"0";"0";"13";"0";"0";"14";"0";"0";"14";"0";"0";"13";"0";"0";"8";"0";"0";"30";"0";"0";"11";"0";"0";"7";"0";"0";"18";"1";"0";"17";"0";"0";"13";"0";"0";"18";"0";"0";"17";"0";"0";"13";"0";"0";"17";"1";"0";"11";"0";"0";"4";"0";"0";"12";"0";"0";"12";"0";"0";"20";"0";"0";"12";"0";"0";"13";"0";"0";"11";"0";"0";"8";"0";"0";"16";"0";"0";"10";"0";"0";"25";"0";"0";"15";"0";"0";"8";"0";"0";"17";"0";"0";"17";"0"
"hsa-mir-135a-1";"intra";"GLYCTK";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-135a-1/";"0";"28";"1";"0";"25";"0";"0";"19";"0";"0";"25";"0";"0";"17";"0";"0";"10";"0";"0";"9";"0";"0";"18";"0";"0";"26";"0";"0";"36";"0";"0";"14";"0";"0";"21";"0";"0";"17";"0";"0";"75";"0";"0";"31";"0";"0";"9";"0";"0";"36";"0";"0";"22";"0";"0";"26";"0";"0";"39";"0";"0";"29";"0";"0";"15";"0";"0";"26";"0";"0";"29";"0";"0";"9";"0";"0";"22";"0";"0";"26";"0";"0";"32";"0";"0";"26";"0";"0";"29";"0";"0";"22";"1";"0";"25";"0";"0";"26";"0";"0";"26";"0";"0";"38";"0";"0";"24";"0";"0";"15";"0";"0";"33";"0";"0";"33";"0"
"hsa-mir-135a-2";"inter";"RMST";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-135a-2/";"0";"24";"1";"0";"20";"0";"0";"15";"0";"0";"22";"0";"0";"15";"0";"0";"8";"0";"0";"6";"0";"0";"15";"0";"0";"21";"0";"0";"26";"0";"0";"13";"0";"0";"16";"0";"0";"15";"0";"0";"53";"0";"0";"23";"0";"0";"7";"0";"0";"31";"0";"0";"17";"0";"0";"20";"0";"0";"34";"0";"0";"22";"0";"0";"10";"0";"0";"20";"0";"0";"17";"0";"0";"8";"0";"0";"19";"0";"0";"21";"0";"0";"23";"0";"0";"23";"0";"0";"25";"0";"0";"19";"1";"0";"19";"0";"0";"22";"0";"0";"19";"0";"0";"32";"0";"0";"20";"0";"0";"12";"0";"0";"27";"0";"0";"26";"0"
"hsa-mir-138-2";"inter";"SLC12A3";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-138-2/";"0";"27";"0";"0";"28";"1";"0";"25";"1";"0";"30";"2";"0";"23";"0";"0";"11";"0";"0";"13";"0";"0";"18";"0";"0";"34";"3";"0";"45";"2";"0";"19";"0";"0";"34";"0";"0";"21";"0";"0";"80";"1";"0";"38";"0";"0";"15";"0";"0";"54";"2";"0";"31";"1";"0";"30";"0";"0";"56";"1";"0";"47";"2";"0";"24";"0";"0";"36";"2";"0";"27";"0";"0";"10";"0";"0";"32";"1";"0";"26";"0";"0";"38";"0";"0";"26";"0";"0";"25";"0";"0";"21";"0";"0";"24";"1";"0";"29";"1";"0";"37";"2";"0";"53";"2";"0";"35";"0";"0";"18";"0";"0";"41";"2";"0";"39";"1"
"hsa-mir-140";"intra";"WWP2";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-140/";"0";"33";"0";"0";"30";"0";"0";"30";"0";"0";"40";"0";"0";"23";"0";"0";"11";"0";"0";"13";"0";"0";"27";"0";"0";"35";"0";"0";"41";"1";"0";"16";"0";"0";"35";"0";"0";"27";"0";"0";"82";"1";"1";"41";"0";"0";"16";"0";"0";"54";"0";"0";"31";"0";"0";"42";"0";"0";"57";"0";"0";"47";"0";"0";"25";"0";"0";"36";"0";"0";"35";"0";"0";"11";"0";"0";"35";"0";"0";"28";"1";"0";"47";"0";"0";"35";"0";"0";"30";"0";"0";"27";"0";"0";"26";"0";"0";"37";"0";"0";"33";"0";"0";"60";"0";"0";"36";"0";"0";"22";"0";"0";"47";"0";"0";"45";"0"
"hsa-mir-141";"inter";"PHB2";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-141/";"0";"38";"0";"0";"25";"0";"0";"28";"0";"0";"40";"0";"0";"25";"0";"0";"13";"0";"0";"13";"0";"0";"31";"0";"0";"44";"0";"0";"46";"1";"0";"30";"1";"0";"35";"0";"0";"25";"0";"0";"91";"1";"0";"46";"0";"0";"19";"0";"0";"57";"2";"0";"45";"1";"0";"36";"0";"0";"65";"0";"0";"59";"1";"0";"34";"1";"0";"34";"0";"0";"30";"0";"0";"12";"0";"0";"45";"1";"0";"33";"2";"0";"46";"0";"0";"34";"0";"0";"36";"0";"0";"33";"0";"0";"32";"0";"0";"32";"0";"0";"47";"0";"0";"75";"1";"0";"41";"0";"0";"18";"0";"0";"44";"0";"0";"55";"0"
"hsa-mir-142";"inter";"BZRAP1-AS1";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-142/";"0";"24";"0";"0";"18";"0";"0";"17";"0";"0";"28";"0";"0";"17";"0";"0";"10";"0";"0";"11";"0";"0";"20";"0";"0";"24";"0";"0";"32";"0";"0";"20";"0";"0";"21";"0";"0";"20";"0";"0";"62";"0";"0";"42";"0";"0";"9";"0";"0";"40";"0";"0";"30";"0";"0";"29";"0";"0";"47";"0";"0";"35";"0";"0";"29";"0";"0";"20";"0";"0";"25";"0";"0";"13";"0";"0";"32";"0";"0";"23";"0";"0";"40";"0";"0";"29";"0";"0";"27";"0";"0";"24";"0";"0";"23";"0";"0";"27";"0";"0";"32";"0";"0";"50";"0";"0";"37";"0";"0";"14";"0";"0";"29";"0";"0";"35";"0"
"hsa-mir-143";"inter";"IL17B";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-143/";"0";"31";"1";"0";"26";"0";"0";"25";"0";"0";"27";"0";"0";"18";"0";"0";"9";"0";"0";"8";"0";"0";"20";"0";"0";"22";"0";"0";"36";"0";"0";"19";"0";"0";"27";"1";"0";"25";"1";"0";"76";"0";"0";"38";"0";"0";"9";"0";"0";"40";"1";"0";"21";"0";"0";"33";"1";"0";"35";"0";"0";"34";"1";"0";"22";"0";"0";"32";"0";"0";"29";"0";"0";"7";"0";"0";"29";"1";"0";"19";"0";"0";"37";"1";"0";"28";"1";"0";"17";"0";"0";"25";"1";"0";"25";"1";"0";"29";"0";"0";"31";"0";"0";"47";"1";"0";"28";"0";"0";"15";"0";"0";"40";"0";"0";"35";"2"
"hsa-mir-144";"inter";"ERAL1";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-144/";"0";"30";"0";"0";"24";"1";"0";"23";"0";"0";"31";"0";"0";"20";"0";"0";"12";"0";"0";"11";"0";"0";"16";"0";"0";"25";"0";"0";"38";"0";"0";"20";"0";"0";"20";"0";"0";"21";"0";"0";"62";"0";"0";"27";"0";"0";"10";"1";"0";"45";"0";"0";"30";"0";"0";"31";"0";"0";"45";"0";"0";"42";"0";"0";"30";"0";"0";"23";"0";"0";"26";"0";"0";"7";"0";"0";"34";"0";"0";"24";"0";"0";"33";"0";"0";"34";"0";"0";"25";"0";"0";"25";"0";"0";"23";"0";"0";"34";"0";"0";"32";"0";"0";"49";"0";"0";"32";"0";"0";"14";"0";"0";"34";"0";"0";"38";"0"
"hsa-mir-145";"inter";"IL17B";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-145/";"0";"31";"5";"0";"23";"2";"0";"25";"4";"0";"29";"5";"0";"20";"4";"0";"11";"3";"0";"12";"2";"0";"22";"4";"0";"29";"6";"0";"36";"5";"0";"18";"2";"0";"26";"3";"0";"22";"3";"0";"74";"5";"0";"31";"2";"0";"11";"1";"0";"41";"8";"0";"31";"4";"0";"30";"4";"0";"51";"8";"0";"47";"9";"0";"25";"3";"0";"28";"4";"0";"27";"4";"0";"10";"1";"0";"35";"4";"0";"24";"4";"0";"37";"3";"0";"31";"4";"0";"29";"4";"0";"25";"2";"0";"22";"6";"0";"32";"6";"0";"36";"6";"0";"53";"6";"0";"33";"3";"0";"15";"2";"0";"35";"4";"0";"36";"4"
"hsa-mir-152";"intra";"COPZ2";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-152/";"0";"18";"0";"0";"9";"0";"0";"18";"0";"0";"19";"0";"0";"9";"0";"0";"6";"0";"0";"7";"0";"0";"11";"0";"0";"22";"0";"0";"23";"0";"0";"12";"0";"0";"20";"1";"0";"16";"0";"0";"48";"0";"0";"24";"0";"0";"9";"0";"0";"36";"0";"0";"16";"0";"0";"20";"0";"0";"33";"0";"0";"34";"0";"0";"14";"0";"0";"13";"0";"0";"13";"0";"0";"7";"0";"0";"21";"0";"0";"18";"0";"0";"28";"0";"0";"21";"0";"0";"21";"0";"0";"20";"0";"0";"15";"0";"0";"16";"0";"0";"23";"0";"0";"33";"0";"0";"23";"0";"0";"16";"0";"0";"21";"0";"0";"26";"0"
"hsa-mir-9-1";"intra";"C1orf61";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-9-1/";"0";"45";"5";"0";"30";"3";"0";"31";"3";"0";"35";"4";"0";"29";"3";"0";"15";"2";"0";"16";"3";"0";"27";"4";"0";"38";"3";"0";"41";"4";"0";"26";"4";"0";"33";"3";"0";"28";"4";"0";"84";"4";"0";"43";"3";"0";"16";"2";"0";"52";"4";"0";"31";"4";"0";"40";"4";"0";"61";"3";"0";"46";"4";"0";"32";"3";"0";"31";"3";"0";"28";"2";"0";"15";"2";"0";"41";"3";"0";"30";"3";"0";"43";"3";"0";"38";"5";"0";"27";"2";"0";"35";"4";"0";"31";"3";"0";"37";"3";"0";"32";"2";"0";"58";"4";"0";"36";"3";"0";"20";"3";"0";"38";"4";"0";"49";"5"
"hsa-mir-9-2";"inter";"LINC00461";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-9-2/";"0";"45";"5";"0";"30";"3";"0";"31";"3";"0";"35";"4";"0";"29";"3";"0";"15";"2";"0";"16";"3";"0";"27";"4";"0";"38";"3";"0";"41";"4";"0";"26";"4";"0";"33";"3";"0";"28";"4";"0";"84";"4";"0";"43";"3";"0";"16";"2";"0";"52";"4";"0";"31";"4";"0";"40";"4";"0";"61";"3";"0";"46";"4";"0";"32";"3";"0";"31";"3";"0";"28";"2";"0";"15";"2";"0";"41";"3";"0";"30";"3";"0";"43";"3";"0";"38";"5";"0";"27";"2";"0";"35";"4";"0";"31";"3";"0";"37";"3";"0";"32";"2";"0";"58";"4";"0";"36";"3";"0";"20";"3";"0";"38";"4";"0";"49";"5"
"hsa-mir-9-3";"inter";"LOC254559";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-9-3/";"0";"45";"5";"0";"30";"3";"0";"31";"3";"0";"35";"4";"0";"29";"3";"0";"15";"2";"0";"16";"3";"0";"27";"4";"0";"38";"3";"0";"41";"4";"0";"26";"4";"0";"33";"3";"0";"28";"4";"0";"84";"4";"0";"43";"3";"0";"16";"2";"0";"52";"4";"0";"31";"4";"0";"40";"4";"0";"61";"3";"0";"46";"4";"0";"32";"3";"0";"31";"3";"0";"28";"2";"0";"15";"2";"0";"41";"3";"0";"30";"3";"0";"43";"3";"0";"38";"5";"0";"27";"2";"0";"35";"4";"0";"31";"3";"0";"37";"3";"0";"32";"2";"0";"58";"4";"0";"36";"3";"0";"20";"3";"0";"38";"4";"0";"49";"5"
"hsa-mir-125a";"inter";"LINC00085";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-125a/";"0";"36";"1";"0";"24";"1";"0";"27";"0";"0";"35";"0";"0";"23";"0";"0";"11";"0";"0";"18";"0";"0";"26";"2";"0";"30";"2";"0";"53";"3";"0";"24";"0";"0";"37";"1";"0";"24";"1";"0";"94";"5";"0";"41";"1";"0";"20";"0";"0";"48";"4";"0";"34";"0";"0";"46";"1";"0";"53";"3";"0";"45";"2";"0";"31";"0";"0";"37";"2";"0";"32";"1";"0";"13";"0";"0";"38";"1";"0";"28";"2";"0";"46";"1";"0";"34";"1";"0";"28";"1";"0";"29";"1";"0";"31";"2";"0";"35";"1";"0";"33";"3";"0";"67";"2";"0";"34";"1";"0";"23";"0";"0";"47";"1";"0";"49";"3"
"hsa-mir-125b-2";"inter";"LINC00478";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-125b-2/";"0";"31";"3";"0";"25";"0";"0";"28";"0";"0";"38";"0";"0";"25";"1";"0";"12";"2";"0";"16";"0";"0";"25";"1";"0";"31";"2";"0";"46";"6";"0";"21";"1";"0";"37";"1";"0";"27";"2";"0";"82";"5";"0";"39";"2";"0";"15";"0";"0";"44";"7";"0";"31";"2";"0";"40";"4";"0";"43";"5";"0";"42";"4";"0";"25";"2";"0";"36";"2";"0";"35";"0";"0";"11";"1";"0";"35";"4";"0";"31";"3";"0";"41";"1";"0";"29";"2";"0";"26";"2";"0";"26";"2";"0";"24";"2";"0";"32";"1";"0";"28";"3";"0";"58";"6";"0";"29";"2";"0";"20";"0";"0";"43";"2";"0";"45";"4"
"hsa-mir-126";"intra";"EGFL7";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-126/";"0";"19";"2";"0";"19";"0";"0";"16";"1";"0";"16";"1";"0";"14";"2";"0";"8";"2";"0";"10";"1";"0";"18";"1";"0";"19";"3";"0";"31";"2";"0";"14";"1";"0";"17";"1";"0";"12";"1";"0";"63";"3";"0";"27";"2";"0";"8";"1";"0";"35";"3";"0";"21";"1";"0";"21";"1";"0";"50";"3";"0";"31";"3";"0";"17";"0";"0";"21";"2";"0";"28";"1";"0";"6";"0";"0";"21";"3";"0";"18";"3";"0";"29";"2";"0";"22";"2";"0";"19";"2";"0";"13";"2";"0";"19";"2";"0";"17";"1";"0";"26";"2";"0";"41";"3";"0";"19";"3";"0";"14";"2";"0";"26";"3";"0";"30";"4"
"hsa-mir-129-2";"inter";"TTC17";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-129-2/";"0";"34";"0";"0";"26";"0";"0";"29";"0";"0";"36";"0";"0";"26";"0";"0";"14";"0";"0";"11";"0";"0";"24";"0";"0";"31";"0";"0";"39";"0";"0";"21";"0";"0";"30";"0";"0";"29";"0";"0";"78";"1";"0";"45";"0";"0";"16";"1";"0";"43";"0";"0";"33";"0";"0";"35";"0";"0";"58";"0";"0";"44";"0";"0";"24";"0";"0";"31";"0";"0";"29";"0";"0";"13";"0";"0";"31";"0";"0";"30";"0";"0";"41";"0";"0";"31";"0";"0";"29";"0";"0";"24";"0";"0";"25";"0";"0";"29";"0";"0";"35";"0";"0";"48";"0";"0";"33";"0";"0";"17";"0";"0";"46";"0";"0";"39";"0"
"hsa-mir-134";"inter";"MEG9";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-134/";"0";"13";"0";"0";"7";"0";"0";"9";"0";"0";"12";"0";"0";"10";"0";"0";"5";"0";"0";"3";"0";"0";"8";"0";"0";"14";"0";"0";"17";"1";"0";"7";"0";"0";"11";"0";"0";"9";"0";"0";"36";"1";"0";"14";"0";"0";"8";"0";"0";"22";"0";"0";"8";"0";"0";"15";"0";"0";"17";"0";"0";"15";"0";"0";"14";"0";"0";"11";"0";"0";"10";"0";"0";"3";"0";"0";"16";"0";"0";"9";"1";"0";"16";"0";"0";"12";"0";"0";"5";"0";"0";"10";"0";"0";"10";"0";"0";"15";"0";"0";"9";"0";"0";"21";"0";"0";"17";"0";"0";"10";"0";"0";"19";"0";"0";"15";"0"
"hsa-mir-138-1";"inter";"TOPAZ1";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-138-1/";"0";"22";"0";"0";"24";"1";"0";"15";"1";"0";"23";"2";"0";"16";"0";"0";"6";"0";"0";"8";"0";"0";"14";"0";"0";"29";"3";"0";"34";"2";"0";"15";"0";"0";"26";"0";"0";"15";"0";"0";"67";"1";"0";"36";"0";"0";"13";"0";"0";"42";"2";"0";"24";"1";"0";"20";"0";"0";"42";"1";"0";"35";"2";"0";"20";"0";"0";"30";"2";"0";"26";"0";"0";"7";"0";"0";"24";"1";"0";"23";"0";"0";"30";"0";"0";"18";"0";"0";"19";"0";"0";"18";"0";"0";"20";"1";"0";"24";"1";"0";"36";"2";"0";"43";"2";"0";"29";"0";"0";"12";"0";"0";"30";"2";"0";"34";"1"
"hsa-mir-146a";"inter";"PTTG1";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-146a/";"0";"30";"2";"0";"24";"2";"0";"26";"2";"0";"27";"2";"0";"28";"1";"0";"9";"0";"0";"12";"1";"0";"22";"4";"0";"27";"1";"0";"36";"4";"0";"27";"1";"0";"24";"2";"0";"24";"2";"0";"67";"6";"0";"40";"3";"0";"11";"0";"0";"42";"5";"0";"33";"2";"0";"36";"3";"0";"41";"3";"0";"41";"3";"0";"28";"1";"0";"31";"4";"0";"26";"1";"0";"13";"1";"0";"35";"3";"0";"24";"1";"0";"40";"1";"0";"32";"2";"0";"20";"2";"0";"26";"3";"0";"23";"2";"0";"36";"7";"0";"31";"1";"0";"55";"5";"0";"35";"3";"0";"14";"1";"0";"40";"6";"0";"35";"3"
