;;;;hsa04917; ; ;hsa04610; ; ;hsa04145; ; ;hsa04380; ; ;hsa04666; ; ;hsa04340; ; ;hsa03050; ; ;hsa04621; ; ;hsa04152; ; ;hsa04066; ; ;hsa05100; ; ;hsa04650; ; ;hsa04662; ; ;hsa04060; ; ;hsa04120; ; ;hsa04330; ; ;hsa04151; ; ;hsa04520; ; ;hsa04660; ; ;hsa04110; ; ;hsa04068; ; ;hsa04530; ; ;hsa04210; ; ;hsa04640; ; ;hsa04140; ; ;hsa04510; ; ;hsa04150; ; ;hsa04144; ; ;hsa04014; ; ;hsa04350; ; ;hsa04062; ; ;hsa04630; ; ;hsa04620; ; ;hsa04310; ; ;hsa04010; ; ;hsa04810; ; ;hsa04612; ; ;hsa04064; ; ;hsa04722; ; 
mirnaname;type;hostgene;Link to target;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget
"hsa-mir-15a";"inter";"DLEU2";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-15a/";"0";"33";"5";"0";"28";"1";"0";"20";"1";"0";"30";"3";"0";"19";"1";"0";"9";"0";"0";"11";"1";"0";"20";"4";"0";"35";"2";"0";"46";"5";"0";"21";"1";"0";"27";"2";"0";"21";"4";"0";"86";"4";"0";"42";"3";"0";"7";"0";"0";"55";"10";"0";"30";"1";"0";"40";"4";"0";"55";"6";"0";"44";"4";"0";"28";"1";"0";"35";"6";"0";"33";"1";"0";"12";"1";"0";"34";"4";"0";"30";"2";"0";"41";"2";"0";"33";"4";"0";"21";"2";"0";"27";"4";"0";"26";"4";"0";"36";"4";"0";"33";"4";"0";"59";"5";"0";"37";"2";"0";"10";"1";"0";"38";"6";"0";"45";"5"
"hsa-mir-16-1";"inter";"DLEU2";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-16-1/";"0";"41";"2";"0";"33";"1";"0";"29";"1";"0";"40";"2";"0";"25";"0";"0";"14";"0";"0";"16";"0";"0";"27";"2";"0";"43";"2";"0";"58";"6";"0";"33";"0";"0";"34";"1";"0";"32";"2";"0";"98";"6";"0";"51";"4";"0";"15";"0";"0";"67";"9";"0";"38";"1";"0";"48";"2";"0";"68";"6";"0";"52";"4";"0";"31";"0";"0";"40";"4";"0";"40";"0";"0";"16";"0";"0";"45";"4";"0";"38";"2";"0";"52";"3";"0";"42";"3";"0";"32";"2";"0";"35";"2";"0";"33";"3";"0";"44";"2";"0";"46";"3";"0";"72";"6";"0";"50";"3";"0";"20";"1";"0";"49";"5";"0";"58";"4"
"hsa-mir-17";"inter";"GPC5";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-17/";"0";"43";"4";"0";"31";"1";"0";"33";"1";"0";"42";"3";"0";"25";"1";"0";"13";"2";"0";"15";"1";"0";"30";"1";"0";"37";"3";"0";"51";"5";"0";"20";"1";"0";"38";"3";"0";"29";"3";"0";"109";"7";"0";"55";"3";"0";"14";"0";"0";"60";"11";"0";"35";"4";"0";"48";"3";"0";"67";"10";"0";"63";"9";"0";"35";"3";"0";"44";"3";"0";"30";"1";"0";"16";"1";"0";"39";"5";"0";"32";"3";"0";"50";"2";"0";"40";"2";"0";"33";"7";"0";"32";"3";"0";"32";"7";"0";"40";"1";"0";"43";"5";"0";"71";"5";"0";"38";"2";"0";"20";"1";"0";"49";"5";"0";"51";"4"
"hsa-mir-18a";"inter";"GPC5";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-18a/";"0";"34";"4";"0";"28";"1";"0";"26";"1";"0";"37";"2";"0";"29";"1";"0";"12";"1";"0";"11";"1";"0";"18";"1";"0";"34";"1";"0";"44";"2";"0";"23";"1";"0";"32";"1";"0";"28";"1";"0";"81";"5";"0";"34";"1";"0";"15";"1";"0";"52";"2";"0";"33";"3";"0";"41";"1";"0";"54";"2";"0";"49";"4";"0";"27";"2";"0";"36";"1";"0";"30";"1";"0";"10";"1";"0";"38";"3";"0";"33";"2";"0";"50";"1";"0";"39";"1";"0";"27";"3";"0";"31";"1";"0";"24";"1";"0";"33";"1";"0";"33";"2";"0";"56";"2";"0";"38";"2";"0";"18";"1";"0";"50";"2";"0";"45";"1"
"hsa-mir-19a";"inter";"GPC5";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-19a/";"0";"27";"3";"0";"25";"1";"0";"19";"1";"0";"27";"2";"0";"17";"1";"0";"9";"1";"0";"9";"1";"0";"19";"1";"0";"26";"2";"0";"35";"1";"0";"13";"1";"0";"19";"1";"0";"23";"1";"0";"72";"3";"0";"42";"2";"0";"10";"1";"0";"44";"4";"0";"23";"2";"0";"30";"1";"0";"41";"3";"0";"39";"5";"0";"22";"2";"0";"29";"1";"0";"27";"1";"0";"11";"1";"0";"29";"3";"0";"25";"2";"0";"37";"1";"0";"30";"1";"0";"19";"3";"0";"20";"1";"0";"19";"2";"0";"24";"1";"0";"31";"3";"0";"55";"1";"0";"28";"1";"0";"13";"1";"0";"28";"1";"0";"38";"1"
"hsa-mir-20a";"inter";"GPC5";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-20a/";"0";"35";"5";"0";"32";"2";"0";"31";"2";"0";"43";"3";"0";"27";"2";"0";"12";"2";"0";"13";"2";"0";"27";"1";"0";"31";"4";"0";"47";"7";"0";"24";"2";"0";"33";"3";"0";"27";"4";"0";"98";"6";"0";"50";"4";"0";"11";"0";"0";"55";"10";"0";"39";"4";"0";"39";"4";"0";"66";"11";"0";"53";"8";"0";"32";"2";"0";"36";"4";"0";"31";"2";"0";"14";"1";"0";"38";"6";"0";"28";"5";"0";"41";"3";"0";"37";"3";"0";"33";"7";"0";"28";"4";"0";"30";"7";"0";"36";"2";"0";"41";"6";"0";"65";"6";"0";"36";"3";"0";"21";"2";"0";"41";"4";"0";"44";"5"
"hsa-mir-21";"inter";"VMP1";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-21/";"0";"33";"3";"0";"26";"3";"0";"30";"2";"0";"31";"5";"0";"18";"3";"0";"12";"3";"0";"10";"2";"0";"22";"5";"0";"34";"4";"0";"37";"6";"0";"19";"2";"0";"28";"5";"0";"22";"3";"0";"91";"10";"0";"41";"4";"0";"13";"3";"0";"47";"8";"0";"30";"4";"0";"32";"5";"0";"47";"7";"0";"48";"6";"0";"25";"3";"0";"35";"5";"0";"30";"3";"0";"12";"1";"0";"33";"6";"0";"25";"4";"0";"40";"3";"0";"32";"6";"0";"32";"5";"0";"27";"4";"0";"27";"6";"0";"34";"3";"0";"33";"3";"0";"61";"10";"0";"31";"4";"0";"17";"3";"0";"40";"8";"0";"38";"5"
"hsa-mir-22";"inter";"WDR81";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-22/";"0";"34";"2";"0";"24";"1";"0";"20";"2";"0";"35";"1";"0";"23";"1";"0";"5";"1";"0";"13";"1";"0";"23";"1";"0";"31";"1";"0";"39";"2";"0";"23";"1";"0";"32";"1";"0";"25";"1";"0";"78";"2";"0";"29";"1";"0";"13";"1";"0";"54";"1";"0";"27";"1";"0";"34";"1";"0";"48";"1";"0";"48";"1";"0";"22";"1";"0";"37";"1";"0";"30";"2";"0";"8";"1";"0";"34";"1";"0";"25";"1";"0";"44";"2";"0";"32";"1";"0";"26";"2";"0";"25";"1";"0";"26";"1";"0";"38";"1";"0";"29";"1";"0";"72";"2";"0";"35";"1";"0";"17";"1";"0";"45";"1";"0";"41";"2"
"hsa-mir-23a";"inter";"LOC284454";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-23a/";"0";"38";"1";"0";"25";"0";"0";"22";"0";"0";"32";"0";"0";"20";"0";"0";"11";"1";"0";"7";"0";"0";"22";"0";"0";"33";"1";"0";"37";"1";"0";"22";"0";"0";"33";"0";"0";"20";"0";"0";"79";"2";"0";"33";"0";"0";"13";"1";"0";"47";"1";"0";"32";"0";"0";"32";"0";"0";"52";"1";"0";"46";"1";"0";"35";"0";"0";"29";"0";"0";"29";"1";"0";"8";"0";"0";"34";"1";"0";"24";"0";"0";"33";"0";"0";"32";"0";"0";"19";"0";"0";"25";"0";"0";"26";"1";"0";"29";"0";"0";"28";"1";"0";"56";"0";"0";"37";"0";"0";"15";"0";"0";"36";"1";"0";"42";"0"
"hsa-mir-24-1";"intra";"C9orf3";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-24-1/";"0";"27";"3";"0";"26";"2";"0";"21";"2";"0";"37";"5";"0";"20";"2";"0";"6";"2";"0";"10";"2";"0";"15";"4";"0";"30";"4";"0";"34";"2";"0";"18";"2";"0";"31";"3";"0";"20";"2";"0";"81";"5";"0";"29";"4";"0";"11";"1";"0";"41";"6";"0";"22";"2";"0";"33";"5";"0";"49";"9";"0";"37";"5";"0";"19";"3";"0";"32";"3";"0";"25";"3";"0";"12";"2";"0";"33";"2";"0";"24";"3";"0";"32";"3";"0";"30";"2";"0";"24";"5";"0";"19";"2";"0";"24";"3";"0";"33";"4";"0";"35";"3";"0";"64";"7";"0";"31";"2";"0";"12";"2";"0";"39";"3";"0";"35";"4"
