NAME	ID	TYPE
IL20RB	53833	gene
IL4	3565	gene
BMPR2	659	gene
ACVR2B	93	gene
ACVR1B	91	gene
ACVR2A	92	gene
ACVR1	90	gene
IL10RB	3588	gene
IL22RA1	58985	gene
IL2RG	3561	gene
IL2RB	3560	gene
CSF2RB	1439	gene
LIFR	3977	gene
hsa-mir-3650		intragenicMirna
IL6ST	3572	gene
IL18RAP	8807	gene
hsa-mir-4772		intragenicMirna
IL18R1	8809	gene
IL1RAP	3556	gene
IL1R2	7850	gene
IL1R1	3554	gene
IL17RB	55540	gene
IL17RA	23765	gene
BMPR1A	657	gene
BMPR1B	658	gene
AMHR2	269	gene
TGFBR1	7046	gene
TGFBR2	7048	gene
IL18	3606	gene
IL1B	3553	gene
IL1A	3552	gene
IL25	64806	gene
IL17B	27190	gene
hsa-mir-145		intergenicMirna
hsa-mir-143		intergenicMirna
IL17A	3605	gene
hsa-mir-206		intergenicMirna
hsa-mir-133b		intergenicMirna
GDF5	8200	gene
BMP7	655	gene
BMP2	650	gene
AMH	268	gene
hsa-mir-4321		intragenicMirna
INHBE	83729	gene
INHBC	3626	gene
INHBB	3625	gene
INHBA	3624	gene
TGFB3	7043	gene
TGFB2	7042	gene
TGFB1	7040	gene
RELT	84957	gene
TNFRSF19	55504	gene
EDA2R	60401	gene
EDAR	10913	gene
TNFRSF13C	115650	gene
hsa-mir-378i		intergenicMirna
TNFRSF13B	23495	gene
TNFRSF17	608	gene
TNFRSF18	8784	gene
TNFRSF4	7293	gene
TNFRSF9	3604	gene
TNFRSF8	943	gene
CD27	939	gene
CD40	958	gene
FAS	355	gene
hsa-mir-4679-2		intergenicMirna
hsa-mir-4679-1		intergenicMirna
TNFRSF6B	8771	gene
TNFRSF14	8764	gene
LTBR	4055	gene
EDA	1896	gene
hsa-mir-676		intragenicMirna
TNFSF13B	10673	gene
TNFSF13	8741	gene
TNFSF18	8995	gene
TNFSF4	7292	gene
TNFSF9	8744	gene
TNFSF8	944	gene
CD70	970	gene
CD40LG	959	gene
FASLG	356	gene
TNFSF14	8740	gene
LTB	4050	gene
LTA	4049	gene
IFNLR1	163702	gene
IL22RA2	116379	gene
IL20RA	53832	gene
IL10RA	3587	gene
IFNGR2	3460	gene
IFNGR1	3459	gene
IFNAR2	3455	gene
IFNAR1	3454	gene
FLT3	2322	gene
KIT	3815	gene
CSF1R	1436	gene
EGFR	1956	gene
MET	4233	gene
FLT4	2324	gene
KDR	3791	gene
FLT1	2321	gene
PDGFRB	5159	gene
PDGFRA	5156	gene
IL26	55801	gene
IFNL1	282618	gene
IFNL3	282617	gene
IFNL2	282616	gene
IL22	50616	gene
IL24	11009	gene
IL20	50604	gene
IL19	29949	gene
IL10	3586	gene
IFNG	3458	gene
IFNE	338376	gene
hsa-mir-31		intergenicMirna
IFNK	56832	gene
IFNW1	3467	gene
IFNB1	3456	gene
IFNA1	3439	gene
FLT3LG	2323	gene
KITLG	4254	gene
CSF1	1435	gene
EGF	1950	gene
HGF	3082	gene
FIGF	2277	gene
VEGFA	7422	gene
VEGFB	7423	gene
PLEKHO2	80301	gene
PDGFB	5155	gene
PDGFA	5154	gene
PDGFC	56034	gene
MPL	4352	gene
PRLR	5618	gene
GHR	2690	gene
EPOR	2057	gene
CRLF2	64109	gene
IL7R	3575	gene
IL21R	50615	gene
IL15RA	3601	gene
IL9R	3581	gene
IL4R	3566	gene
IL2RA	3559	gene
IL5RA	3568	gene
IL3RA	3563	gene
CSF2RA	1438	gene
hsa-mir-3690-2		intragenicMirna
hsa-mir-3690-1		intragenicMirna
THPO	7066	gene
PRL	5617	gene
GH2	2689	gene
GH1	2688	gene
EPO	2056	gene
TSLP	85480	gene
IL21	59067	gene
IL15	3600	gene
IL9	3578	gene
IL7	3574	gene
IL2	3558	gene
IL5	3567	gene
IL3	3562	gene
CSF2	1437	gene
IL12RB1	3594	gene
IL23R	149233	gene
IL12RB2	3595	gene
IL13RA1	3597	gene
LEPR	3953	gene
CSF3R	1441	gene
CNTFR	1271	gene
OSMR	9180	gene
IL11RA	3590	gene
IL6R	3570	gene
IL23A	51561	gene
IL12A	3592	gene
IL13	3596	gene
LEP	3952	gene
hsa-mir-129-1		intergenicMirna
CSF3	1440	gene
CTF1	1489	gene
CLCF1	23529	gene
CNTF	1270	gene
LIF	3976	gene
OSM	5008	gene
IL11	3589	gene
IL6	3569	gene
CCR10	2826	gene
CCR3	1232	gene
CCR1	1230	gene
CCR5	1234	gene
CCR2	729230	gene
CCR7	1236	gene
CCR4	1233	gene
CCR9	10803	gene
CCR6	1235	gene
CCR8	1237	gene
CCL18	6362	gene
CCL27	10850	gene
CCL28	56477	gene
CCL26	10344	gene
CCL24	6369	gene
CCL11	6356	gene
CCL8	6355	gene
CCL15	6359	gene
CCL23	6368	gene
CCL16	6360	gene
CCL14	6358	gene
CCL5	6352	gene
CCL7	6354	gene
CCL13	6357	gene
CCL3L3	414062	gene
CCL4L1	388372	gene
CCL2	6347	gene
CCL21	6366	gene
CCL19	6363	gene
CCL22	6367	gene
CCL17	6361	gene
CCL25	6370	gene
CCL20	6364	gene
CCL1	6346	gene
CX3CR1	1524	gene
XCR1	2829	gene
CXCR6	10663	gene
CXCR5	643	gene
CXCR4	7852	gene
CXCR3	2833	gene
CXCR1	3577	gene
CXCR2	3579	gene
CX3CL1	6376	gene
XCL2	6846	gene
XCL1	6375	gene
CXCL14	9547	gene
PF4	5196	gene
CXCL16	58191	gene
CXCL13	10563	gene
CXCL12	6387	gene
CXCL11	6373	gene
CXCL10	3627	gene
CXCL9	4283	gene
CXCL8	3576	gene
CXCL6	6372	gene
PPBP	5473	gene
CXCL5	6374	gene
TNFRSF1A	7132	gene
TNFRSF1B	7133	gene
hsa-mir-7846		intragenicMirna
hsa-mir-4632		intragenicMirna
NGFR	4804	gene
hsa-mir-6165		intragenicMirna
TNFRSF21	27242	gene
TNFRSF12A	51330	gene
TNFRSF25	8718	gene
TNFRSF11A	8792	gene
TNFSF12	8742	gene
TNFRSF10C	8794	gene
TNFRSF11B	4982	gene
TNFRSF10B	8795	gene
TNFSF10	8743	gene
TNFRSF10A	8797	gene
TNFRSF10D	8793	gene
TNFSF15	9966	gene
TNF	7124	gene
CXCL3	2921	gene
CXCL2	2920	gene
CXCL1	2919	gene
TNFSF11	8600	gene
ACKR3	57007	gene
GATA1	2623	tf
GATA2	2624	tf
ONECUT1	3175	tf
AR	367	tf
YBX1	4904	tf
FOXP3	50943	tf
ETS1	2113	tf
hsa-mir-6090		intragenicMirna
NFKB1	4790	tf
TP53	7157	tf
ESR1	2099	tf
TFAP2C	7022	tf
STAT1	6772	tf
TP63	8626	tf
hsa-mir-944		intragenicMirna
PRDM14	63978	tf
E2F4	1874	tf
GATA3	2625	tf
MYCN	4613	tf
SP1	6667	tf
THRA	7067	tf
VDR	7421	tf
HNF4A	3172	tf
hsa-mir-3646		intragenicMirna
RORA	6095	tf
NR2F1	7025	tf
NR2C1	7181	tf
MYC	4609	tf
hsa-mir-1204		intergenicMirna
NR3C1	2908	tf
EGR1	1958	tf
NR1I2	8856	tf
FOXF1	2294	tf
CREB1	1385	tf
NRF1	4899	tf
hsa-mir-182		intergenicMirna
hsa-mir-96		intergenicMirna
hsa-mir-183		intergenicMirna
