NAME	ID	TYPE
CUL2	8453	gene
hsa-mir-3611		intragenicMirna
RBX1	9978	gene
TCEB2	6923	gene
TCEB1	6921	gene
VEGFA	7422	gene
EGLN2	112398	gene
VHL	7428	gene
ARNT	405	gene
CREBBP	1387	gene
HIF1A	3091	gene
SLC2A1	6513	gene
EGF	1950	gene
EGFR	1956	gene
PIK3R5	23533	gene
AKT3	10000	gene
MTOR	2475	gene
CYBB	1536	gene
PLCG1	5335	gene
hsa-mir-6871		intragenicMirna
PRKCA	5578	gene
hsa-mir-634		intragenicMirna
LDHA	3939	gene
hsa-mir-3159		intergenicMirna
PDK1	5163	gene
PDHA1	5160	gene
CAMK2A	815	gene
HK1	3098	gene
PFKL	5211	gene
GAPDH	2597	gene
ALDOA	226	gene
ENO1	2023	gene
hsa-mir-6728		intragenicMirna
PGK1	5230	gene
PFKFB3	5209	gene
hsa-mir-3155a		intragenicMirna
hsa-mir-3155b		intragenicMirna
EPO	2056	gene
TF	7018	gene
TFRC	7037	gene
FLT1	2321	gene
SERPINE1	5054	gene
ANGPT1	284	gene
TEK	7010	gene
TIMP1	7076	gene
EDN1	1906	gene
NOS2	4843	gene
NOS3	4846	gene
HMOX1	3162	gene
NPPA	4878	gene
LTBR	4055	gene
TLR4	7099	gene
NFKB1	4790	gene
IFNG	3458	gene
IFNGR1	3459	gene
IL6	3569	gene
IL6R	3570	gene
STAT3	6774	gene
EIF4EBP1	1978	gene
EIF4E	1977	gene
RPS6KB1	6198	gene
RPS6	6194	gene
MAPK1	5594	gene
MAP2K1	5604	gene
MKNK2	2872	gene
BCL2	596	gene
CDKN1A	1026	gene
AR	367	tf
YBX1	4904	tf
FOXP3	50943	tf
EGR1	1958	tf
GATA2	2624	tf
NR4A1	3164	tf
HNF4A	3172	tf
hsa-mir-3646		intragenicMirna
MEOX2	4223	tf
MYC	4609	tf
hsa-mir-1204		intergenicMirna
NFIC	4782	tf
NFKB1	4790	tf
SP1	6667	tf
SP3	6670	tf
TP53	7157	tf
TP73	7161	tf
TP63	8626	tf
hsa-mir-944		intragenicMirna
KLF4	9314	tf
ESR1	2099	tf
ETS1	2113	tf
hsa-mir-6090		intragenicMirna
GATA1	2623	tf
GATA3	2625	tf
FOXA1	3169	tf
PRDM14	63978	tf
IRF8	3394	tf
hsa-mir-6774		intragenicMirna
IRF1	3659	tf
SPI1	6688	tf
E2F4	1874	tf
HSF1	3297	tf
RELA	5970	tf
MYCN	4613	tf
THRA	7067	tf
VDR	7421	tf
ONECUT1	3175	tf
NRF1	4899	tf
hsa-mir-182		intergenicMirna
hsa-mir-96		intergenicMirna
hsa-mir-183		intergenicMirna
HIF1A	3091	tf
RORA	6095	tf
NR2F1	7025	tf
NR2C1	7181	tf
NF1	4763	tf
hsa-mir-4733		intergenicMirna
MYEF2	50804	tf
TFAP2C	7022	tf
ZNF224	7767	tf
CEBPA	1050	tf
CEBPD	1052	tf
CREB1	1385	tf
USF1	7391	tf
USF2	7392	tf
ATF2	1386	tf
hsa-mir-933		intragenicMirna
JUN	3725	tf
REL	5966	tf
RBPJ	3516	tf
KLF6	1316	tf
hsa-mir-6078		intergenicMirna
POU2F1	5451	tf
REST	5978	tf
STAT1	6772	tf
YY1	7528	tf
hsa-mir-6764		intragenicMirna
ERG	2078	tf
GATA4	2626	tf
STAT3	6774	tf
EPAS1	2034	tf
SMAD3	4088	tf
HNF1A	6927	tf
TFAP2A	7020	tf
TAL1	6886	tf
NR1I2	8856	tf
E2F1	1869	tf
ATF1	466	tf
PGR	5241	tf
PPARG	5468	tf
TFCP2	7024	tf
XRCC5	7520	tf
NR1D1	9572	tf
DDIT3	1649	tf
hsa-mir-616		intragenicMirna
ETV4	2118	tf
